,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
0,1,CAS,GENTLEWOMAN 50,CB,5s,LEAD BROWN-a; V ARNE~c (FIRST SINCE HER ARRIVAL IN ENGLAND). SL VN BROWN-a; CN VC JONES-g; CN BN HEBDEN.,GA,,For widow gentlewoman under misfortunes. From 21 Dec 1749.,1750-01-11 18:00:00
1,2,R,RANELAGH 50,GS,,V FRASI~ BEARD.,GA,,And breakfast. [And subsequently on Mondays and Thursdays to 3 May; not listed.],1750-02-12 12:00:00
2,3,HAY,HAYMARKET 50,MI,PB 10s 6d; G 5s,,GA,,Entertainment of vocal and instrumental musick.,1750-02-15 18:00:00
3,4,H,BROWN-a 50,CB,5s,V FRASI~ GALLI~. CN HPD BUTLER; CN VC JONES-g; CN BN HEBDEN; SL VN BROWN-a; CN VN BROWN-a <CNS>.,GA,,,1750-02-19 19:00:00
4,5,H,MANFREDINI 50 3RD,CS,5s for non-subscribers,V GALLI~ ARNE-m <SON> MANFREDINI.,GA,,Manfredini's musical entertainments: third. [First and second not found.],1750-02-20 19:00:00
5,6,H,STEVENSON~ 50,CB,5s,V GALLI~ STEVENSON~ LOWE.,GA,,,1750-02-22 19:00:00
6,7,KA,SANGUINETTI AND SIPRUTINI 50,CB,5s,[SANGUINETTI.] LEAD JACKSON-1; V GUADAGNI <GAETANO_GUADAGNI>. SL VN JACKSON-1; SL VC SIPRUTINI; CN ORG BURNEY-c.,GA,,With ball.,1750-02-26 18:30:00
7,8,H,MANFREDINI 50 4TH ?,CS,5s for non-subscribers,V GALLI~ ARNE~c ARNE-m <MASTER> MANFREDINI.,GA,,Manfredini's musical entertainment.,1750-02-27 19:00:00
8,9,CG,CG ORATORIO 50 [1ST],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAUL^ <ORATORIO>. V REINHOLD-ht LOWE GUADAGNI GALLI~ FRASI~.,GA,Burrows-Harris 265-7,[LS.],1750-03-02 18:30:00
9,10,H,MANFREDINI 50 5TH ?,CS,5s for non-subscribers,[MANFREDINI.],GA,,Manfredini's musical entertainments: last.,1750-03-06 19:00:00
10,11,CG,CG ORATORIO 50 [2ND],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAUL^ <ORATORIO>. V REINHOLD-ht LOWE GUADAGNI GALLI~ FRASI~.,GA,Burrows-Harris 266-7,[LS.],1750-03-07 18:30:00
11,12,CG,CG ORATORIO 50 [3RD],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,,[LS; Burrows-Harris 267.],1750-03-09 18:30:00
12,13,H,BIDDLE~ 50,CB,10s 6d,V GALLI~; HPD BIDDLE~.,GA 3 Mar,,,1750-03-10 19:00:00
13,14,CAS,CASTLE 50,SOC,,,GA 27 Feb (advert for Miss Turner's benefit),,Castle Concert. From ?,
14,15,CG,CG ORATORIO 50 [4TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,See Deutsch-Handel 683-4,[LS; Burrows-Harris 267.],1750-03-14 18:30:00
15,16,CG,CG ORATORIO 50 [5TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^THEODORA^ <ORATORIO> (NEW). V REINHOLD-ht GUADAGNI LOWE FRASI~ GALLI~. CN ORG (NEW).,GA,Burrows-Harris 267-9,[LS; Deutsch-Handel 683 (with cast).],1750-03-16 18:30:00
16,17,CAS,TURNER~e 50,CB,5s,V TURNER~e TURNER~1.,GA; GA 27 Feb,,From 12 Mar (Castle Concert).,1750-03-20 19:00:00
17,18,CG,CG ORATORIO 50 [6TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^THEODORA^ <ORATORIO> (NEW). CN ORG (NEW).,GA,Burrows-Harris 269,[LS.],1750-03-21 18:30:00
18,19,CG,CG ORATORIO 50 [7TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^THEODORA^ <ORATORIO> (NEW). CN ORG (NEW).,GA,Burrows-Harris 269-70,[LS.],1750-03-23 18:30:00
19,20,KT,FREAKE 50 LAST,CS,PB 5s; G 3s,[FREAKE.] V GALLI~ ARNE~c. CN 'EPHIPHANY'; CN 'EASTER'; CN ?trbn <CORNO_TROMBONA NEW>; SL VC LE_LONG; CN BN MILLER-j.,GA,,Second and last night of Freake's musical entertainments [first not found]. No third night (Galli's benefit on 2 Apr).,
20,21,THR,PARRY-j AND GWYNN 50,CB,5s,LEAD BROWN-a; V GUADAGNI <GAETANO_GUADAGNI>. dt HP HP PARRY-j GWYNN <PIECES 2 WELSH_HP>; piece HP PARRY-j <WELSH + SCOTCH AIRS>.,GA,,,1750-03-26 19:00:00
21,22,H,CATTANEI 50,CB,5s,V GIACOMAZZI~m; I CATTANEI.,GA,,,1750-03-26 19:00:00
22,23,DL,JONES-g 50,OB,PB 5s; FG 3s; SG 1s 6d,BOYCE o ^SOLOMON^ <SERENATA>. V GALLI~ ARNE~c BEARD. BETWEEN ACTS: CN VC JONES-g.,GA,,From 13 Mar. [LS.],1750-03-28 12:00:00
23,24,CG,CG ORATORIO 50 [8TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,,[LS.],1750-03-28 18:30:00
24,25,H,FREDERICK~ 50,CB,10s 6d,V GALLI~ PALMA-1. SCARLATTI-d LSN HPD FREDERICK~ <LSNS> etc. <CASSANDRA_FREDERICK>; HANDEL CN HPD FREDERICK~ <2 CNS>.,GA,,FREDERICK~: aged 6+half; pupil of Paradies.,1750-03-29 18:30:00
25,26,DEV,WILKINSON 50,CB,5s; 3s,[WILKINSON.] V STEVENSON~ REINHOLD-ht THUMOTH. SL VN JACKSON-1; CN VC HEBDEN; SL FL LAWSON; TPT SNOW-v; CN BN MILLER-j.,GA,,,1750-03-29 18:30:00
26,27,CG,CG ORATORIO 50 [9TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,,[LS.],1750-03-30 18:30:00
27,28,HAY,GALLI~ 50,OB,PB 10s 6d; G 5s,HASSE o <SERENATA>. V MANFREDINI ARNE-m <MASTER> GALLI~.,GA,,,
28,29,KA ,GOODWIN 50,CB,3s,[GOODWIN <STARLING_GOODWIN>.],GA,,GOODWIN: organist of St Mary Magdalen Bermondsey.,1750-04-03 19:00:00
29,30,HAY,SNOW-J 50,CB,PB 5s; G 3s,LEAD COLLETT-r; V ARNE~c LOWE REINHOLD-ht THUMOTH. CN BN MILLER-j; SL VC GORDON; CN FL LAWSON; CN TPT SNOW-v; piece HPD SNOW-J <PERFORMANCES; JONATHAN_SNOW>; ARNE-ta o ^ODE_TO_CHEARFULNESS^.,GA,,SNOW-J: aged 9. Box ticket admits one.,1750-04-03 18:30:00
30,31,CG,CG ORATORIO 50 [10TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAMSON^ <ORATORIO>. V GUADAGNI GALLI~.,GA,,[LS; Handel-Handbuch 4 (Kassel 1985) 437 after Dean.],1750-04-04 18:30:00
31,32,CG,CG ORATORIO 50 [11TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAMSON^ <ORATORIO>.,GA,,[LS.],1750-04-06 18:30:00
32,33,CAS,WARD-1 AND WARD-2 50,CB,3s,[WARD-1 WARD-2.],GA,,For Ward and son. And ball.,1750-04-09 19:00:00
33,34,HAY ,HOOPER~ 50,CB,P 5s; B 3s; G 2s,V HOOPER~ <RACHAEL_HOOPER> TALBOT~.,GA,,HOOPER~: six years ago at Lincoln's Inn Fields Theatre.,
34,35,KT,DECAYED MUSICIANS 50,CB,10s 6d,1: CIAMPI OV (NEW); TERRADELLAS SG GIACOMAZZI~m 'JO_SON_QUELL'; COCCHI SG LASCHI 'DILLE_CHE'; ARAIA SG GALLI~ 'QUESTO_CORE'; CN vc PASQUALINO; CIAMPI SG GUADAGNI 'LE_DOLCEZZE'; CIAMPI SG FRASI~ 'INFELICE_IN_VAN'.  2: CN vn DUBOURG; CIAMPI SG MELLINI~ 'QUAL_NOCCHIERO'; CIAMPI SG GIACOMAZZI~m 'DAL_LABRO'; CIAMPI SG FRASI~ 'OH_DIO'; CN bn MILLER-j; CIAMPI SG GUADAGNI 'SON_SVENTURATO'; HANDEL SG GALLI~ 'FAIR_AND_COMELY'.  3: CN ob VINCENT; FINI SG LASCHI 'CRUDO_AMORE'; FINI SG MELLINI~ 'ALLA_SELVA'; PULLI SG GIACOMAZZI~m 'SE_TORNA' <FULLI>; PULLI SG GALLI~ 'SO_CHE'; HANDEL DT 2v FRASI~ GUADAGNI 'O_FAIREST'; HANDEL CNGR.,GA 31 Mar; GA 20 Mar,,Fund .. for .. Decay'd Musicians or their Families. Subscriber's ticket admits one [anywhere]. [LS.],1750-04-10 18:00:00
35,36,DL,GEMINIANI 50,CB,PB 10s 6d; FG 5s; SG 3s 6d,CONCERTO SPIRITUALI [FROM COLLECTION MADE IN ITALY] : SACRED MUSIC. LEAD GEMINIANI / COND GEMINIANI. GEMINIANI CN vn GEMINIANI; GEMINIANI SL vn GEMINIANI; CANUTI o ^MAGNIFICAT^.,GA; GA 2 Mar,GA 16 Mar (puff),From 6 Apr (oratorio): no oratorio this night. [LS; with receipts.],1750-04-11 18:30:00
36,37,CG,CG ORATORIO 50 [12TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^MESSIAH^ <SACRED ORATORIO>. ? V GUADAGNI.,GA,,Last. [LS. Handel-Handbuch 4 (Kassel 1985) 437.],1750-04-12 18:30:00
37,38,H,MORIGI-A1 50,CB,5s,LEAD MORIGI-A1 <ANGELO_MORIGI>; V GALLI~ LASCHI; VN PINTO <VN2>. MORIGI-A1 CN VN MORIGI-A1; MORIGI-A1 SL VN MORIGI-A1.,GA 18 Apr,,,1750-04-23 19:00:00
38,39,H,MANFREDINI 50,CB,5s,V GALLI~ PALMA-1 MANFREDINI.,GA; GA 21 Apr,,From 25 Apr (ball at Ranelagh).,1750-04-30 19:00:00
39,40,FH,FOUNDLING HOSPITAL 50,OB,10s 6d,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. DIR HANDEL. ORG HANDEL [?],GA 30 Apr,See Deutsch,[LS; Deutsch-Handel 686-9; Burrows-Harris 270.],1750-05-01 12:00:00
40,41,M,MARYBONE 50,GS,,V FALKNER~.,GA,,,1750-05-09 18:00:00
41,42,DEV ,TALBOT~ 50,CB,5s,V TALBOT~ THUMOTH <D_THUMOTH_JUN>. CN VN PINTO <CNS>; SL VN PINTO; SL FL LAWSON.,GA; GA 1 May,,From 9 May.,1750-05-12 19:00:00
42,43,FH,FOUNDLING HOSPITAL 50,OB,,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. DIR HANDEL. V GUADAGNI LOWE BOYS_OF_cr.,GA 14 May,Burrows-Harris 270-1,[LS; Deutsch-Handel 689-90.] [Those with outstanding tickets for 1 May admitted.],1750-05-15 12:00:00
43,44,CAS,Castle 50 ? *,CB,5s (1g or 2l),V TALBOT~; SL VN WILLIAMS-1.,GA 14 May; GA 17 May,,[* Beneficiary not given: ?Castle Society.]  With ball. From 10 May. GA 17 May: 'tomorrow' [?misprint].,1750-05-17 18:00:00
44,45,H ,CUZZONI~ 50,CB,10s 6d,V CUZZONI~.,GA,,,1750-05-18 19:00:00
45,46,H ,CUZZONI~ 50,CB,10s 6d,V CUZZONI~.,GA,,,1750-05-23 19:00:00
46,47,R,RANELAGH 50,GS,,END: o ^ODE_MADE_FOR...PRINCE_GEORGE'S_BIRTHDAY^.,GA,,Each evening this week. As performed at the Rural Carnaval. [And subsequently; not listed.],
47,48,M,FALKNER~ 50,GB,5s,V LOWE FALKNER~ PHILLIPS-1.  1: SG PHILLIPS-1.  2: SG LOWE; SG FALKNER~ 'THE_DROOPING_LILLY'.  3: sg LOWE <CANTATA> (NEW); SG FALKNER~ (NEW ITALIAN SG).  4: SG LOWE; SG FALKNER~ (NEW ITALIAN SG).  5: SG FALKNER~ 'GO_ROSE'; dt 2v LOWE FALKNER~ <DIALOGUE>.,GA,,,
48,49,HAM,DORMAN 50 ?,CB,5s,[DORMAN?] LEAD FESTING; V BEARD. BOYCE sg BEARD <CANTATA> (NEW; SUNG AT RANELAGH); SL VC PASQUALINO; CN HPD BUTLER; CN TPT ABINGTON; tr vn vn vc FESTING FROUD PASQUALINO <SN>.,GA 11 Aug,,Annual concert. Tickets from Dorman. [Ian Bartlett: William Boyce (Newcastle upon Tyne 2011) 74-5.],1750-08-11 18:30:00
49,50,M,LOWE 50,GB,3s,V LOWE FALKNER~. ALL SGS IN: ARNE-ta o ^HENRY_AND_EMMA^ <MUSICAL DRAMA>. [ARNE-ta SG LOWE; ARNE-ta SG FALKNER~.] arne-ta SG 'RISE_GLORY!' from arne-ta o ^ROSAMOND^ <OPERA>.,GA,,,1750-08-16 18:30:00
50,51,,CASTLE 50-51,SOC,,,GA 22 Sept 1750,,Castle Society: meeting.,
51,52,CAS ,WARD-1 AND WARD-2 50,CB,3s,[WARD-1 WARD-2.],GA,,For Ward and son. With ball.,
52,53,CAS,TUESDAY 50-51,SOC,,V TURNER~e.,GA 22 Oct,,Rehearsal. Concert at which Miss Turner engaged. [Later Tuesday Night Concert (cf 18 Dec 1750). Not Castle Concert.],
53,54,DEV ,PHILHARMONIC 50-51,SOC,,,GA 16 Oct,,Philharmonick Society: first concert.,
54,55,CAS,LARKEN~ 50,CB,5s,LEAD JACKSON-1; V LARKEN~. handel OV from handel o ^ACIS_AND_GALATEA^; SL VN JACKSON-1; handel o ^CORONATION_ANTHEM^ ^GOD_SAVE_THE_KING^. SG DT TR CH <SGS DTS TRS CHS>.,GA; GA 29 Sept; GA 19 Oct,,From 22 Oct; 15 Nov.,1750-12-03 19:00:00
55,56,DEV ,BALICOURT 50,CB,5s,LEAD COLLETT-r; V STEVENSON~. SL VN COLLETT-r; CN OB EIFFERT; CN HPD BURNEY-c; CN VC EMINENT_MASTER; cn FL BALICOURT.,GA,,,1750-12-03 19:00:00
56,57,CAS,TUESDAY 50-51,SOC,,[?TURNER~e.],GA 15 Dec 1750,,Tuesday Night Concert [cf 30 Oct 1750].,
57,58,CAS ,TUESDAY 50-51,SOC,,[TURNER~e.],GA 1 Jan,,Tuesday Night's Concert: next. Tickets: Miss Turner. [See 11 Mar for details of subscription for next year: 2gn.],
58,59,H,ROBINSON~1 51 1ST,CS,For ten: 2gn (1); 3gn (2l),V ROBINSON~1; HPD ROBINSON~1; I FESTING VINCENT-T <THOMAS_VINCENT_JUN> PASQUALINO MILLER-j.,GA,,Miss Robinson's ten musical entertainments. 5s at door for non-subscribers.,1751-01-28 19:00:00
59,60,CAS,CASTLE 50-51,SOC,,,GA 25 Jan,,Castle Society: next (30 Jan anniversary of King Charles' martyrdom).,
60,61,H ,SCARPETTINI 51,CB,5s,[SCARPETTINI.] LSN HPD SCOVELL <LSNS; GEORGE_SCOVELL>; SL VN SCOVELL.,GA,,SCOVELL: nephew of SCARPETTINI; aged 12.,1751-01-29 19:00:00
61,62,H,ROBINSON~1 51 2ND,CS,,V ROBINSON~1; HPD ROBINSON~1; I FESTING VINCENT-T <THOMAS_JUN> PASQUALINO MILLER-j.,GA,,[GA mistakenly gives 1st on 28 Jan.] Miss Robinson's ten musical entertainments.,
62,63,HAY,ARNE-m 51,CB,PB 10s 6d; G 5s,1: ARNE-ta OV (NEW; NO.3); SG FRASI~ (ITALIAN); SG GALLI~ 'CHI_NON_ODE'; SL OB LOGE (LATELY ARRIVED); HANDEL SG ARNE~c 'DI_COR' from HANDEL o ^ALCINA^ <OPERA>; PALMA-2 SG ARNE-m 'SPESSO_MI'; ARNE-ta CN ORG ARNE-m <MR; MASTER> (NEW).  2: ARNE-ta OV (NEW; NO.6); SG FRASI~ (ITALIAN); SG GALLI~ 'NON_A'; HANDEL SG ARNE~c 'TORNA_MI' from HANDEL o ^ALCINA^ <OPERA>; HASSE SG ARNE-m 'CHE_FURIA'; ARNE-ta o <SCENE from ^AS_YOU_LIKE_IT^> FRASI~ GALLI~ LOWE ARNE-m CHORUS.   3: ARNE-ta OV (NEW; NO.5). ARNE-ta o ^THE_JUDGMENT_OF_PARIS^ <SERENATA> (WITH ALTERATIONS): v FRASI~ GALLI~ ARNE~c LOWE ARNE-m CHORUS.,GA (two adverts),,From 28 Jan. Pasticcio in the manner of an oratorio. [LS.],1751-02-05 18:30:00
63,64,H,ROBINSON~1 51 3RD,CS,,V ROBINSON~1; HPD ROBINSON~1; I FESTING VINCENT-T <THOMAS_JUN> PASQUALINO MILLER-j.,GA,,Miss Robinson's ten musical entertainments.,
64,65,R,RANELAGH 51,GS,2s,V FRASI~ BEARD.,GA,,With breakfast. [And subsequently on Mondays and Thursdays to 7 May; not listed.],1751-02-11 12:00:00
65,66,H ,MARTIN 51,CB,5s,V CUZZONI~ THUMOTH.,GA,,Martin - treasurer.,1751-02-13 19:00:00
66,67,H,ROBINSON~1 51 4TH,CS,,V ROBINSON~1; HPD ROBINSON~1; I FESTING VINCENT-T <THOMAS_JUN> PASQUALINO MILLER-j.,GA,,Miss Robinson's ten musical entertainments.,
67,68,CAS,TURNER~e 51,CB,5s,V TURNER~e TURNER~1.,GA,,,1751-02-18 19:00:00
68,69,H ,DORMAN 51,CB,5s,[DORMAN?] LEAD FESTING. SG 'THE_LADIES_CHOICE'; SL VC PASQUALINO; CN HPD BUTLER; CN BN BAUMGARTEN-s; LADY.,GA,,DORMAN: [text to the song].,1751-02-19 18:30:00
69,70,H,CUZZONI~ 51,CB,10s 6d,1: handel OV from handel o ^SAMSON^; SG GUADAGNI; PALMA-2 SG CUZZONI~; CN HPD GAMBARINI~; HANDEL SG CUZZONI~ 'FALSE_IMAGINE'; HANDEL CNGR <GRAND_CN>.  2: HANDEL SYM from HANDEL ANTH; SG PALMA-1; HANDEL SG CUZZONI~ 'RETURN_O_GOD'; GEMINIANI CNgr OP.2 NO.3; DT 2v CUZZONI~ GUADAGNI; CORELLI CNgr 8TH.,GA,,,1751-02-20 19:00:00
70,71,SUN ,LAWSON 51,CB,,LEAD BROWN-a; V THUMOTH FALKNER~. SL VN BROWN-a; CN FL LAWSON; SL FL LAWSON.,GA,,,1751-02-21 18:30:00
71,72,CG,CG ORATORIO 51 [1ST],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^BELSHAZZAR^ <ORATORIO>. CN ORG. ? V FRASI~ GALLI~ LOWE GUADAGNI.,GA,,[LS; Deutsch-Handel 701; Handel-Handbuch 4 (Kassel 1985) 448 after Dean.],1751-02-22 18:30:00
72,73,CAS ,CASTLE 50-51,SOC,,,GA 22 Feb,,Castle Society: next (and three succeeding Mondays [4 11 18 March]).,
73,74,H,BROWN-a 51,CB,5s,[BROWN-a.] V FRASI~ GALLI~.,GA,,,1751-02-26 19:00:00
74,75,CG,CG ORATORIO 51 [2ND],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^BELSHAZZAR^ <ORATORIO>. CN ORG.,GA,,[LS.],1751-02-27 18:30:00
75,76,CG,CG ORATORIO 51 [3RD],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^ALEXANDER'S_FEAST^; handel o ^THE_CHOICE_OF_HERCULES^ <NEW ACT>. [? V in latter:] FRASI~ GALLI~ GUADAGNI. CN ORG (NEW).,GA,,[LS. Deutsch-Handel 702 with incorrect cast. Cf Winton Dean: Handel's Dramatic Oratorios (London 1959) 586.],1751-03-01 18:30:00
76,77,CAS ,CASTLE 50-51,SOC,,,GA 22 Feb,,Castle Society [cf 25 Feb].,
77,78,H,STEVENSON~ 51,CB,5s,LEAD COLLETT-r; V STEVENSON~. SL VC PALOMINIANI <DON_ANTONIO_PALOMINIANI> (LATELY FROM MADRID).,GA,,From 12 Feb.,1751-03-05 19:00:00
78,79,CG,CG ORATORIO 51 [4TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^ALEXANDER'S_FEAST^; handel o ^THE_CHOICE_OF_HERCULES^ <NEW ACT>. CN ORG (NEW).,GA,,[LS.],1751-03-06 18:30:00
79,80,CG,CG ORATORIO 51 [5TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^ALEXANDER'S_FEAST^; handel o ^THE_CHOICE_OF_HERCULES^ <NEW ACT>. CN ORG (NEW).,GA,See Deutsch-Handel,[LS; Deutsch-Handel 702-3.],1751-03-08 18:30:00
80,81,CAS ,CASTLE 50-51,SOC,,,GA 22 Feb,,Castle Society [cf 25 Feb].,
81,82,H,JONES-g 51,CB,,V FRASI~. PURCELL SG 'ROSIE_BOWER'; HANDEL SG 'RETURN_O_GOD'; BOYCE DT 2v from BOYCE o ^SOLOMON^; SL VN BROWN-a; PIECE HP PARRY-j; SL VC JONES-g; CN VC JONES-g; handel CNgr IN handel o ^ALEXANDER'S_FEAST^.,GA 11 Mar,,From HAY.,
82,83,CG,CG ORATORIO 51 [6TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^ALEXANDER'S_FEAST^; handel o ^THE_CHOICE_OF_HERCULES^ <NEW ACT>. CN ORG (NEW).,GA,,[LS.],1751-03-13 18:30:00
83,84,HAY,PARRY-j AND GWYNN 51,CB,5s,LEAD BROWN-a; V NORRIS~. PIECE HP PARRY-j; PIECE HP GWYNN <PIECES; WELSH_HP>.,GA,,,1751-03-14 19:00:00
84,85,CG,CG ORATORIO 51 [7TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^ESTHER^ <ORATORIO>. CN ORG. V FRASI~ GUADAGNI LOWE (or BEARD) GALLI~ REINHOLD COX-1.,GA,,[LS; Handel-Deutsch 704; Handel-Handbuch 4 (Kassel 1985) 449 after Dean.],1751-03-15 18:30:00
85,86,CAS,CASTLE 50-51,SOC,,handel o ^SAMSON^ ?,GA 22 Feb,,Castle Society [cf 25 Feb]. [Deutsch-Handel 704: Samson performed here on [Saturday] 16 Mar.],
86,87,HAY,YOUNG~I 51,CB,P 5s; B 3s; G 2s,V WALTZ YOUNG~I <ISABELLA_YOUNG> (NEVER APPEARED BEFORE).,GA,,YOUNG~I: scholar of Waltz.,
87,88,CG,CG ORATORIO 51 [8TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>. CN ORG. ? V LOWE REINHOLD-ht GUADAGNI FRASI~ GALLI~.,GA,,[LS; Deutsch-Handel 704-5; Handel-Handbuch 4 (Kassel 1985) 449 after Dean. Last oratorio: death of Prince of Wales.],1751-03-20 18:30:00
88,89,DEV,THUMOTH 51,CB,5s; G 3s,V THUMOTH. CN FL THUMOTH. IN LAST PART: A [NEW] INSTRUMENT.,GA 20 Mar,,THUMOTH from Ranelagh.,1751-03-21 19:00:00
89,90,KA,GOODWIN 51,CB,3s,[GOODWIN <STARLING_GOODWIN>.],GA 28 Feb,,,1751-03-26 19:00:00
90,91,CRO ,CROWN 50-51,SOC,,,GA 13 Apr,,Crown Concert behind the Royal Exchange.,1751-04-15 18:00:00
91,92,KT,DECAYED MUSICIANS 51,CB,10s 6d,1: PARADIES OV; HANDEL SG BEARD 'WHY_DOES'; CIAMPI SG FRASI~ 'INFELICE_IN_VAN'; CN vc PASQUALINO; HANDEL SG CUZZONI~ 'FALSA_IMAGINE'; RESTA SG GUADAGNI 'NON_PAVENTO'.  2: DUBOURG CN vn DUBOURG; HANDEL SG GALLI~ 'FATHER_OF'; CHINZER SG FRASI~ 'SE_VEDI'; CN bn MILLER-j; HANDEL SG CUZZONI~ 'BENCHE_MI'; CIAMPI SG GALLI~ 'PASTORELLA'.  3: CN ob VINCENT; HANDEL SG FRASI~ 'RETURN_O_GOD'; CIAMPI SG GALLI~ 'VARCAN_COL'; CIAMPI SG GUADAGNI 'SE_NON_TIMOR'; HANDEL SG BEARD 'TUNE_YOUR_HARPS'; HANDEL DT 2v CUZZONI~ GUADAGNI 'PIU_AMABILE'; HANDEL CNGR <GRAND_CN>.,GA; GA 22 Mar,,From 26 Mar. [LS; Deutsch-Handel 706-7.] Subscriber's ticket admits one [anywhere].,1751-04-16 18:00:00
92,93,V,VAUXHALL 51,GS,2s 6d,WORGAN o ^DIRGE_TO_THE_MEMORY_OF..PRINCE_OF_WALES^ <JOHN_WORGAN> (NEW). CH <CHS>.,GA,,[Text] by Smart. [Repeated on 20 Apr.],1751-04-17 12:00:00
93,94,FH,FOUNDLING HOSPITAL 51,OB,10s 6d,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. DIR HANDEL. VOLUNTARY ORG HANDEL.,GA 17 Apr,See Deutsch-Handel,[LS; Deutsch-Handel 706-8.] No money on the day.,1751-04-18 12:00:00
94,95,CAS,WARD-1 AND WARD-2 51,CB,3s,[WARD-1 WARD-2.] V THUMOTH.,GA; GA 16 Mar,,For Ward and son. From 1 Apr. With ball.,
95,96,HAY ,SNOW-J 51,CB,PB 5s; G 3s,1: CNGR <GRAND_CN> HN HN TPT TPT; handel MARCH (DEAD) from handel o ^SAUL^; HANDEL SG and HANDEL CH 'HAPPY_PAIR' from HANDEL o ^ALEXANDER'S_FEAST^; CN HPD SNOW-J <JONATHAN_SNOW>; CN ESORP; HANDEL TR 3v 'THE_FLOCKS'; SL HP GWYNN.  2: CN vn COLLETT-r; CN fl LAWSON; PEPUSCH SG THUMOTH + SNOW-J 'SEE_FROM_THE_SILENT'; SL vn COLLETT-r; handel o ^CORONATION_ANTHEM^ ^GOD_SAVE_THE_KING^.,GA,,SNOW-J: aged 10. [Deutsch-Handel 707.],1751-04-23 19:00:00
96,97,CAS ,GRIFFES 51,CB,3s,[GRIFFES?],GA 25 Apr,,,
97,98,HAY,CUZZONI~ 51,CB,PB 10s 6d; G 5s,1: GIARDINI OV; SG GUADAGNI; SG FRASI~; SG CUZZONI~; CN vn GIARDINI; SG GUADAGNI; SG FRASI~.  2: GIARDINI OV; SG CUZZONI~; SG GUADAGNI; SG FRASI~ [or possibly TR 3V]; SAMMARTINI SN [SAMMARTINI-GB SL vn GIARDINI <OF_MILAN>]; SG CUZZONI~; DT 2v GUADAGNI FRASI~; CN vn GIARDINI.,GA,GA 1 May; cf Charles Burney A General History ed Mercer (London 1935) ii.737 849-50 896,Benefit of GUADAGNI for the profit of CUZZONI~. Tickets for La Forza (23 Mar) taken. [LS 1 May.],
98,99,H,DAVIES~m 51,CB,,LEAD PINTO; V FRASI~ BEARD ARNE-m <MASTER> DAVIES~m (FIRST TIME IN PUBLIC). SL VN PINTO; CN FL DAVIES~m + HN HN (NEW); CN OB EIFFERT; HANDEL CN HPD DAVIES~m; DAVIES~m CN FL DAVIES~m; CN BN BOMBARDIN; FP WITH FL FL HN HN TPT TPT (PRINCIPAL FL DAVIES~m).,GA,,DAVIES~m: aged 7. [Deutsch-Handel 708.],
99,100,H,MORIGI-A1 51,CB,5s,[MORIGI-A1 <ANGELO_MORIGI>.],GA; GA 21 Mar,,From 21 Mar [mistakenly advertised then].,1751-05-03 19:00:00
100,101,CAS,TUESDAY 50-51,SOC,,[TURNER~e.],GA 4 May,,Last night of the Tuesday Night's Concert (Miss Turner).,
101,102,KA ,SKEGGS 51,CB,5s,LEAD COLLETT-R <RICHARD_COLLETT>; V ARNE~c ARNE-m <MASTER>; VC HEBDEN; OB EIFFERT; OB WOODBRIDGE-1; BN OWEN; HN MAX; HN SKEGGS.,GA 11 May,,,1751-05-13 19:00:00
102,103,FH,FOUNDLING HOSPITAL 51,OB,10s 6d,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. DIR HANDEL. VOLUNTARY ORG HANDEL. V GUADAGNI.,GA 15 May,See LS; Deutsch-Handel; Burrows-Harris 277,Repeat of 18 Apr. [LS; Deutsch-Handel 708-9.],1751-05-16 12:00:00
